indicateur,annee,valeur
T abonnés Internet Fixe et Mobile (Toutes technologies),2013,348192.0
T abonnés Internet Fixe et Mobile (Toutes technologies),2014,609095.0
T abonnés Internet Fixe et Mobile (Toutes technologies),2015,902748.0
T abonnés Internet Fixe et Mobile (Toutes technologies),2016,1570153.0
T abonnés Internet Fixe et Mobile (Toutes technologies),2017,2655799.0
T abonnés Internet Fixe et Mobile (Toutes technologies),2018,3686211.0
T abonnés Internet Fixe et Mobile (Toutes technologies),2019,3411809.0
T abonnés Internet haut débit Fixe et Mobile,2013,161877.0
T abonnés Internet haut débit Fixe et Mobile,2014,255622.0
T abonnés Internet haut débit Fixe et Mobile,2015,497941.0
T abonnés Internet haut débit Fixe et Mobile,2016,1486188.0
T abonnés Internet haut débit Fixe et Mobile,2017,2066408.0
T abonnés Internet haut débit Fixe et Mobile,2018,2549258.0
T abonnés Internet haut débit Fixe et Mobile,2019,2082203.0
T abonnés Internet mobiles (Toutes technologies),2013,279437.0
T abonnés Internet mobiles (Toutes technologies),2014,526984.0
T abonnés Internet mobiles (Toutes technologies),2015,836676.0
T abonnés Internet mobiles (Toutes technologies),2016,1521390.0
T abonnés Internet mobiles (Toutes technologies),2017,2605249.0
T abonnés Internet mobiles (Toutes technologies),2018,3660055.0
T abonnés Internet mobiles (Toutes technologies),2019,3379910.0
T abonnés Internet mobiles (Haut débit),2013,130019.0
T abonnés Internet mobiles (Haut débit),2014,210448.0
T abonnés Internet mobiles (Haut débit),2015,431869.0
T abonnés Internet mobiles (Haut débit),2016,1437425.0
T abonnés Internet mobiles (Haut débit),2017,2015858.0
T abonnés Internet mobiles (Haut débit),2018,2524282.0
T abonnés Internet mobiles (Haut débit),2019,2050304.0
Abonnés GPRS /EDGE Togo Cellulaire,2013,39594.0
Abonnés GPRS /EDGE Togo Cellulaire,2014,31610.0
Abonnés GPRS /EDGE Togo Cellulaire,2015,23096.0
Abonnés GPRS /EDGE Togo Cellulaire,2016,15350.0
Abonnés GPRS /EDGE Togo Cellulaire,2017,12011.0
Abonnés GPRS /EDGE Togo Cellulaire,2018,29489.0
Abonnés GPRS /EDGE Togo Cellulaire,2019,1134.0
Abonnés GPRS/EDGE Atlantique Telecom,2013,109824.0
Abonnés GPRS/EDGE Atlantique Telecom,2014,284926.0
Abonnés GPRS/EDGE Atlantique Telecom,2015,381711.0
Abonnés GPRS/EDGE Atlantique Telecom,2016,68615.0
Abonnés GPRS/EDGE Atlantique Telecom,2017,577380.0
Abonnés GPRS/EDGE Atlantique Telecom,2018,1106284.0
Abonnés GPRS/EDGE Atlantique Telecom,2019,1328472.0
Nombre de clients 3G Togo Cellulaire,2013,130019.0
Nombre de clients 3G Togo Cellulaire,2014,210448.0
Nombre de clients 3G Togo Cellulaire,2015,431869.0
Nombre de clients 3G Togo Cellulaire,2016,1142917.0
Nombre de clients 3G Togo Cellulaire,2017,1610821.0
Nombre de clients 3G Togo Cellulaire,2018,1932767.0
Nombre de clients 3G Togo Cellulaire,2019,1242250.0
Nombre de clients 3G Atlantique Telecom,2013,0.0
Nombre de clients 3G Atlantique Telecom,2014,0.0
Nombre de clients 3G Atlantique Telecom,2015,0.0
Nombre de clients 3G Atlantique Telecom,2016,294508.0
Nombre de clients 3G Atlantique Telecom,2017,405037.0
Nombre de clients 3G Atlantique Telecom,2018,467873.0
Nombre de clients 3G Atlantique Telecom,2019,633580.0
Nombre de clients 4G Togo Cellulaire,2013,0.0
Nombre de clients 4G Togo Cellulaire,2014,0.0
Nombre de clients 4G Togo Cellulaire,2015,0.0
Nombre de clients 4G Togo Cellulaire,2016,0.0
Nombre de clients 4G Togo Cellulaire,2017,0.0
