region,prefecture,commune,canton,operateur,lon,lat
Savanes,Tône,Tône 4,Sanfatoute,Moov + Togocom,0.30321,10.99665
Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,Moov + Togocom,0.36006,10.71757
Savanes,Tône,Tône 1,Dapaong,Moov + Togocom,0.23148,10.87886
Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,Moov + Togocom,0.36035,10.71792
Maritime,Golfe,Golfe 1,Bè-Est,Non renseigné,1.28455,6.17183
Savanes,Tône,Tône 1,Toaga,Togocom,0.24896,10.88591
Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,Moov + Togocom,0.36032,10.71812
Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,Togocom,0.36017,10.71835
Savanes,Tône,Tône 1,Toaga,Togocom,0.23926,10.88206
Savanes,Cinkassé,Cinkassé 2,Nadjoundi,Moov + Togocom,0.18641,11.00668
Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Nayéga,Moov + Togocom,0.40916,10.75185
Savanes,Tône,Tône 1,Dapaong,Togocom,0.20202,10.86552
Savanes,Tône,Tône 1,Dapaong,Moov + Togocom,0.20205,10.86552
Savanes,Tône,Tône 1,Dapaong,Moov + Togocom,0.20178,10.86537
Savanes,Tône,Tône 1,Dapaong,Moov + Togocom,0.20137,10.86615
Savanes,Tône,Tône 1,Dapaong,Moov + Togocom,0.20269,10.86448
Savanes,Tône,Tône 1,Dapaong,Moov + Togocom,0.20263,10.86446
Savanes,Tône,Tône 1,Dapaong,Moov + Togocom,0.19946,10.86471
Savanes,Tône,Tône 1,Dapaong,Moov + Togocom,0.20313,10.86487
Savanes,Tône,Tône 1,Dapaong,Moov + Togocom,0.20322,10.86497
Savanes,Cinkassé,Cinkassé 2,Nadjoundi,Moov,0.19193,11.01245
Savanes,Tône,Tône 1,Dapaong,Moov + Togocom,0.19793,10.86412
Savanes,Tône,Tône 1,Dapaong,Moov + Togocom,0.19952,10.86865
Savanes,Tône,Tône 1,Dapaong,Moov + Togocom,0.19993,10.86782
Savanes,Tône,Tône 1,Dapaong,Moov + Togocom,0.20447,10.86369
Savanes,Tône,Tône 1,Dapaong,Moov + Togocom,0.19946,10.86863
Savanes,Tône,Tône 1,Dapaong,Moov + Togocom,0.1944,10.86311
Savanes,Tône,Tône 1,Dapaong,Togocom,0.20409,10.86358
Savanes,Tône,Tône 4,Korbongou,Moov,0.36965,10.94233
Savanes,Tône,Tône 1,Dapaong,Moov + Togocom,0.19216,10.86166
Savanes,Tône,Tône 4,Louanga,Moov + Togocom,0.3325,10.89273
Savanes,Tône,Tône 4,Louanga,Moov + Togocom,0.33101,10.90384
Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,Moov + Togocom,0.37774,10.72544
Savanes,Cinkassé,Cinkassé 2,Nadjoundi,Moov + Togocom,0.17976,11.02823
Savanes,Tône,Tône 1,Dapaong,Non renseigné,0.20364,10.86422
Savanes,Tône,Tône 1,Dapaong,Moov + Togocom,0.19917,10.86896
Savanes,Tône,Tône 2,Naki-Ouest,Non renseigné,0.09338,10.90628
Savanes,Tône,Tône 1,Dapaong,Moov + Togocom,0.20396,10.86313
Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,Moov + Togocom,0.37998,10.72715
Savanes,Tône,Tône 3,Warkambou,Togocom,-0.03473,10.78375
Savanes,Cinkassé,Cinkassé 2,Nadjoundi,Moov,0.19223,11.03254
Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,Moov + Togocom,0.38257,10.72835
Savanes,Tône,Tône 2,Naki-Ouest,Moov,0.09147,10.90616
Maritime,Zio,Zio 3,Agbélouvé,Non renseigné,1.16736,6.67444
Maritime,Zio,Zio 3,Agbélouvé,Moov + Togocom,1.16984,6.68104
Maritime,Zio,Zio 3,Agbélouvé,Moov + Togocom,1.16634,6.6729
Plateaux,Akébou,Akébou 1,Kougnohou,Togocom,0.79363,7.64773
Maritime,Zio,Zio 3,Agbélouvé,Moov + Togocom,1.16147,6.67096
Savanes,Cinkassé,Cinkassé 1,Cinkassé,Moov + Togocom,0.02047,11.09899
Savanes,Cinkassé,Cinkassé 2,Biankouri,Moov + Togocom,0.05283,11.01539
Savanes,Cinkassé,Cinkassé 1,Cinkassé,Moov + Togocom,0.0198,11.09881
Maritime,Zio,Zio 1,Tsévié,Moov + Togocom,1.21084,6.42
Savanes,Tône,Tône 1,Dapaong,Moov + Togocom,0.20481,10.86416
Savanes,Tône,Tône 1,Toaga,Moov + Togocom,0.26702,10.94462
Savanes,Tône,Tône 1,Dapaong,Moov + Togocom,0.20441,10.86359
Savanes,Tône,Tône 1,Toaga,Moov + Togocom,0.26693,10.94435
Savanes,Tône,Tône 4,Korbongou,Moov + Togocom,0.29835,10.97624
Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,Moov + Togocom,0.37986,10.72707
Savanes,Tône,Tône 1,Dapaong,Moov + Togocom,0.20401,10.86306
Savanes,Tône,Tône 1,Dapaong,Moov + Togocom,0.1968,10.87248
Savanes,Tône,Tône 4,Kantindi,Moov + Togocom,0.26757,10.944
Savanes,Tône,Tône 4,Kantindi,Moov + Togocom,0.2675,10.94398
Savanes,Tône,Tône 1,Dapaong,Moov + Togocom,0.20542,10.86429
Savanes,Tône,Tône 4,Korbongou,Non renseigné,0.35177,10.91009
Savanes,Tône,Tône 1,Dapaong,Moov + Togocom,0.20389,10.86478
Savanes,Tône,Tône 2,Naki-Ouest,Moov + Togocom,0.09295,10.90637
Savanes,Tône,Tône 1,Dapaong,Moov + Togocom,0.17922,10.85468
Savanes,Tône,Tône 2,Naki-Ouest,Togocom,0.09295,10.90637
Savanes,Tône,Tône 3,Warkambou,Moov,0.00354,10.8004
Savanes,Tône,Tône 4,Korbongou,Moov + Togocom,0.3588,10.90638
Savanes,Tône,Tône 4,Korbongou,Moov + Togocom,0.3583,10.90615
Savanes,Tône,Tône 4,Korbongou,Moov,0.35815,10.90596
Savanes,Tône,Tône 4,Kantindi,Moov + Togocom,0.27868,10.8946
Savanes,Tône,Tône 2,Naki-Ouest,Moov + Togocom,0.095,10.90569
Savanes,Tône,Tône 2,Naki-Ouest,Moov + Togocom,0.09344,10.90622
Savanes,Tône,Tône 2,Naki-Ouest,Moov + Togocom,0.09238,10.90682
Savanes,Tône,Tône 2,Naki-Ouest,Moov,0.09228,10.9066
Savanes,Tône,Tône 4,Korbongou,Moov + Togocom,0.29984,10.9316
Savanes,Tône,Tône 2,Naki-Ouest,Moov + Togocom,0.09205,10.90653
Savanes,Oti-Sud,Oti-Sud 1,Mogou,Non renseigné,0.64415,10.38321
Savanes,Oti,Oti 1,Faré,Moov + Togocom,0.39344,10.17985
Savanes,Tône,Tône 2,Naki-Ouest,Moov,0.09379,10.9061
Savanes,Tône,Tône 4,Korbongou,Moov + Togocom,0.30464,10.91478
Savanes,Tône,Tône 1,Poissongui,Moov,0.20176,11.05739
Savanes,Tandjoaré,Tandjoaré 1,Bombouaka,Moov + Togocom,0.17861,10.72918
Savanes,Tône,Tône 2,Naki-Ouest,Moov,0.11485,10.91436
Savanes,Oti,Oti 1,Sadori,Moov + Togocom,0.4012,10.24423
Savanes,Tône,Tône 4,Louanga,Togocom,0.32835,10.9102
Savanes,Tône,Tône 4,Louanga,Togocom,0.3865,10.83139
Savanes,Tône,Tône 1,Kourientre,Togocom,0.22509,10.97755
Savanes,Tône,Tône 4,Korbongou,Moov,0.32693,10.91069
Savanes,Cinkassé,Cinkassé 1,Cinkassé,Non renseigné,0.01298,11.10069
Savanes,Tône,Tône 4,Korbongou,Moov + Togocom,0.30467,10.9147
Savanes,Tône,Tône 4,Louanga,Moov + Togocom,0.31462,10.9001
Savanes,Oti,Oti 1,Mango,Moov + Togocom,0.47268,10.35881
Savanes,Tône,Tône 1,Toaga,Moov + Togocom,0.26484,10.88628
Savanes,Tône,Tône 4,Korbongou,Moov + Togocom,0.32237,10.91189
Savanes,Tône,Tône 4,Korbongou,Moov + Togocom,0.29808,10.97565
Savanes,Tône,Tône 4,Korbongou,Moov + Togocom,0.29801,10.97614
Savanes,Tône,Tône 4,Korbongou,Moov + Togocom,0.29885,10.97614
Savanes,Tône,Tône 4,Korbongou,Moov,0.29963,10.97639
Savanes,Tône,Tône 4,Sanfatoute,Moov + Togocom,0.30349,10.99711
Savanes,Tône,Tône 4,Sanfatoute,Moov + Togocom,0.29503,11.04401
Savanes,Tône,Tône 4,Sanfatoute,Moov + Togocom,0.29477,11.04471
Savanes,Tandjoaré,Tandjoaré 2,Tampialime,Moov + Togocom,0.00158,10.74778
