fid,commune,prefecture,region,pop_2022,agents_total,fin_total,fin_bancaire,superficie_km2,hab_par_agent,agents_pour_1000hab,hab_par_point_fin,mm_seul
communes.A01001,Agoè-Nyivé 1,Agoè-Nyivé,Maritime,317255.0,446,36,29,42.2,711.3340807174887,1.405809207104695,8812.638888888889,False
communes.A01002,Agoè-Nyivé 2,Agoè-Nyivé,Maritime,128164.0,37,6,6,25.3,3463.891891891892,0.28869261259011886,21360.666666666668,False
communes.A01003,Agoè-Nyivé 3,Agoè-Nyivé,Maritime,47554.0,263,8,6,5.8,180.81368821292776,5.530554737771796,5944.25,False
communes.A01004,Agoè-Nyivé 4,Agoè-Nyivé,Maritime,154431.0,258,5,5,34.2,598.5697674418604,1.6706490277211181,30886.2,False
communes.A01005,Agoè-Nyivé 5,Agoè-Nyivé,Maritime,125097.0,97,5,5,30.7,1289.659793814433,0.7753982909262412,25019.4,False
communes.A01006,Agoè-Nyivé 6,Agoè-Nyivé,Maritime,110194.0,297,8,8,54.2,371.023569023569,2.6952465651487376,13774.25,False
communes.A06022,Vo 1,Vo,Maritime,88865.0,211,8,8,187.0,421.1611374407583,2.374388116806392,11108.125,False
communes.A06023,Vo 2,Vo,Maritime,24396.0,52,1,1,95.7,469.15384615384613,2.131496966715855,24396.0,False
communes.A02007,Avé 1,Avé,Maritime,75044.0,79,10,10,806.7,949.9240506329114,1.0527157400991418,7504.4,False
communes.A06024,Vo 3,Vo,Maritime,64651.0,100,2,2,239.5,646.51,1.5467664846638103,32325.5,False
communes.A02008,Avé 2,Avé,Maritime,36170.0,49,4,4,209.4,738.1632653061224,1.3547138512579484,9042.5,False
communes.A03009,Bas-Mono 1,Bas-Mono,Maritime,55382.0,155,3,2,248.8,357.3032258064516,2.7987432739879385,18460.666666666668,False
communes.A03010,Bas-Mono 2,Bas-Mono,Maritime,39478.0,28,1,1,163.6,1409.9285714285713,0.7092557880338416,39478.0,False
communes.A06025,Vo 4,Vo,Maritime,46499.0,113,6,6,221.1,411.49557522123894,2.4301597883825456,7749.833333333333,False
communes.A04014,Golfe 4,Golfe,Maritime,155842.0,809,34,23,13.5,192.63535228677378,5.191155144312829,4583.588235294118,False
communes.A04015,Golfe 5,Golfe,Maritime,169993.0,1062,60,45,19.3,160.06873822975518,6.247316065955657,2833.2166666666667,False
communes.A04016,Golfe 6,Golfe,Maritime,181561.0,482,23,22,37.1,376.68257261410787,2.654755151161318,7893.95652173913,False
communes.A04017,Golfe 7,Golfe,Maritime,257813.0,777,14,13,48.7,331.8056628056628,3.0138123368488015,18415.214285714286,False
communes.A07026,Yoto 1,Yoto,Maritime,77353.0,82,10,10,467.8,943.329268292683,1.06007523948651,7735.3,False
communes.A05018,Lacs 1,Lacs,Maritime,52994.0,172,10,10,46.7,308.1046511627907,3.2456504509944524,5299.4,False
communes.A05019,Lacs 2,Lacs,Maritime,42855.0,40,2,2,152.4,1071.375,0.93338000233345,21427.5,False
