region,prefecture,commune,nom,categorie,statut,en_service,lon,lat
Maritime,Golfe,Golfe 5,BTCI Amadahome,Banque,Nsp,True,1.16543,6.20354
Maritime,Bas-Mono,Bas-Mono 1,FUCEC Togo Afagnan,Micro-Finance,Utilisé,True,1.62712,6.49577
Maritime,Zio,Zio 1,Mutuelle Dignite Humaine,Mutuelle,Utilisé,True,1.28716,6.26622
Maritime,Zio,Zio 1,Mutuelle Le Roc,Mutuelle,Utilisé,True,1.37288,6.23953
Maritime,Golfe,Golfe 5,FUCEC-Togo,Micro-Finance,Utilisé,True,1.16901,6.18348
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,CIF Assurance-vie,Assurance,Utilisé,True,1.18953,6.20619
Maritime,Golfe,Golfe 6,BTCI Baguida,Banque,Utilisé,True,1.3382,6.1675
Maritime,Golfe,Golfe 5,Microfinance Millenium Totsi,Micro-Finance,Utilisé,True,1.18668,6.19708
Maritime,Golfe,Golfe 5,BTCI Agbalepedogan,Banque,Nsp,True,1.20074,6.19762
Maritime,Zio,Zio 1,COOPAD Djagblé,Micro-Finance,Utilisé,True,1.28279,6.25412
Plateaux,Ogou,Ogou 1,SUNU Bank Yata,Banque,Fermé,False,1.14038,7.51964
Maritime,Zio,Zio 1,Mutuelle Meci,Mutuelle,Utilisé,True,1.28356,6.25605
Maritime,Golfe,Golfe 4,Direction générale Siab Togo,Banque,Utilise,True,1.22459,6.12361
Centrale,Blitta,Blitta 2,UCMECF To Point de Agbandji,Micro-Finance,Utilisé,True,1.13456,8.22702
Centrale,Blitta,Blitta 1,FUCEC Togo Agence Pagala,Micro-Finance,Utilisé,True,0.97541,8.17807
Maritime,Zio,Zio 1,Mutuelle Le President Microfinance Sa,Mutuelle,{autre},True,1.29196,6.27052
Maritime,Agoè-Nyivé,Agoè-Nyivé 3,FUCEC-togo Agence Vakpossito,Micro-Finance,Nsp,True,1.16933,6.218
Maritime,Golfe,Golfe 5,UTB Agence Totsi,Banque,Utilisé,True,1.18756,6.1965
Maritime,Zio,Zio 1,CECAV Gbama Kope,Micro-Finance,Utilisé,True,1.2636,6.26086
Maritime,Golfe,Golfe 5,COOPEC Fidelite,Micro-Finance,Utilisé,True,1.18172,6.17569
Maritime,Golfe,Golfe 5,Mutuelle ASJD Totsi,Mutuelle,Utilisé,True,1.18769,6.19535
Maritime,Bas-Mono,Bas-Mono 1,CEC Tso Nakle,Mutuelle,Utilisé,True,1.61558,6.49413
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Fidelia Assurance Agbalepedogan,Assurance,Utilisé,True,1.19554,6.2011
Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Fonds Communautaire Pour Le Developpement,Mutuelle,Utilisé,True,1.16861,6.21909
Maritime,Zio,Zio 1,COOPEC AD Djagblé,Micro-Finance,Utilisé,True,1.28424,6.25945
Centrale,Tchaoudjo,Tchaoudjo 1,COMEC Sokode,Micro-Finance,Utilisé,True,1.13517,8.97086
Centrale,Tchaoudjo,Tchaoudjo 1,BTCI Sokode,Banque,Utilisé,True,1.13894,8.98867
