annee,pct_individus,gain_pts
1996,0.010929139,
1997,0.211139465,0.200210326
1998,0.305583935,0.09444446999999997
1999,0.590363264,0.2847793290000001
2000,0.8,0.209636736
2001,0.9,0.09999999999999998
2002,1.0,0.09999999999999998
2003,1.2,0.19999999999999996
2004,1.5,0.30000000000000004
2005,1.8,0.30000000000000004
2006,2.0,0.19999999999999996
2007,2.2,0.20000000000000018
2008,2.4,0.19999999999999973
2009,2.6,0.20000000000000018
2010,3.0,0.3999999999999999
2011,3.5,0.5
2012,4.0,0.5
2013,4.5,0.5
2014,5.7,1.2000000000000002
2015,7.12,1.42
2016,11.31,4.19
2017,12.3602,1.0502000000000002
2018,15.5,3.1397999999999993
2019,20.7273,5.2273
2020,29.0237,8.296400000000002
2021,32.5051,3.481399999999997
2022,37.6212,5.116100000000003
