prefecture,region,superficie_km2,pop_2022,agents_Moov,agents_Moov + Togocom,agents_Non renseigné,agents_Togocom,fin_Assurance,fin_Banque,fin_Micro-Finance,fin_Mutuelle,agents_total,fin_total,fin_bancaire,densite,hab_par_agent,agents_pour_1000hab,hab_par_point_fin,fin_pour_100000hab,agents_par_point_fin,agents_par_km2,mm_seul,grand_lome,rang_agents,rang_fin,sous_median_agents,sous_median_fin,double_desavantage,indice_acces
Agoè-Nyivé,Maritime,193.3,882695,3,851,39,505,8.0,12.0,47.0,1.0,1398,68,59,4566.451112260735,631.398426323319,1.5837860189533193,12980.808823529413,7.703680206639893,20.558823529411764,7.232281427832384,False,True,21,17,True,False,False,68.4
Avé,Maritime,1020.5,111214,17,76,29,6,0.0,3.0,11.0,0.0,128,14,14,108.97991180793728,868.859375,1.1509342348984841,7943.857142857143,12.588343194202167,9.142857142857142,0.12542871141597256,False,False,28,4,True,False,False,51.3
Bas-Mono,Maritime,413.9,94860,45,129,0,9,0.0,0.0,3.0,1.0,183,4,3,229.1857936699686,518.360655737705,1.9291587602783047,23715.0,4.2167404596247104,45.75,0.442135781589756,False,False,19,30,False,True,False,52.1
Golfe,Maritime,221.3,1305681,148,3791,357,825,45.0,99.0,85.0,3.0,5121,232,184,5900.049706281066,254.9660222612771,3.9220912305532516,5627.935344827586,17.7685054772184,22.073275862068964,23.140533212833258,False,True,4,1,False,False,False,97.4
Lacs,Maritime,385.0,241247,61,581,56,43,0.0,10.0,11.0,0.0,741,21,21,626.6155844155844,325.56950067476384,3.0715407859994115,11487.952380952382,8.704771458297927,35.285714285714285,1.9246753246753248,False,False,10,15,False,False,False,77.8
Vo,Maritime,746.3,224411,125,329,18,4,0.0,5.0,12.0,0.0,476,17,17,300.6981106793515,471.45168067226894,2.1211081453226446,13200.64705882353,7.575386233295159,28.0,0.6378132118451025,False,False,18,18,False,False,False,65.0
Yoto,Maritime,1261.8,174851,58,68,0,34,0.0,6.0,13.0,0.0,160,19,19,138.57267395783802,1092.81875,0.9150648266238112,9202.684210526315,10.866394816157758,8.421052631578947,0.12680297987002695,False,False,35,6,True,False,False,44.4
Zio,Maritime,2130.8,500032,74,556,82,67,0.0,5.0,27.0,4.0,779,36,32,234.66866904449031,641.8896020539153,1.5579002943811595,13889.777777777777,7.199539229489312,21.63888888888889,0.3655903885864464,False,False,23,21,True,True,True,54.7
Agou,Plateaux,945.2,85793,17,172,9,26,0.0,1.0,5.0,0.0,224,6,6,90.76703343207787,383.0044642857143,2.6109356241185178,14298.833333333334,6.993577564603172,37.333333333333336,0.2369868810833686,False,False,13,22,False,True,False,59.0
Akébou,Plateaux,1196.5,73830,4,50,16,17,0.0,0.0,2.0,0.0,87,2,2,61.70497283744254,848.6206896551724,1.178382771231207,36915.0,2.7089259108763377,43.5,0.07271207689093188,False,False,27,36,True,True,True,20.5
Amou,Plateaux,1674.2,114172,14,110,0,51,0.0,0.0,6.0,0.0,175,6,6,68.19495878628598,652.4114285714286,1.5327751112356793,19028.666666666668,5.255228952808044,29.166666666666668,0.10452753553936207,False,False,24,29,True,True,True,31.6
Anié,Plateaux,1973.7,180158,2,206,17,60,0.0,4.0,6.0,0.0,285,10,10,91.27932309874853,632.1333333333333,1.5819447373971736,18015.8,5.550683289112889,28.5,0.14439884480924153,False,False,22,27,True,True,True,40.2
Danyi,Plateaux,428.1,40240,20,93,10,19,0.0,0.0,3.0,0.0,142,3,3,93.99672973604298,283.38028169014086,3.52882703777336,13413.333333333334,7.455268389662028,47.333333333333336,0.33169820135482364,False,False,5,19,False,False,False,70.9
Est-Mono,Plateaux,2525.3,164460,10,140,11,48,0.0,0.0,3.0,0.0,209,3,3,65.12493565120975,786.88995215311,1.2708257327009607,54820.0,1.8241517694272162,69.66666666666667,0.08276244406605156,False,False,26,38,True,True,True,21.4
Haho,Plateaux,2938.2,305096,51,332,41,29,1.0,3.0,18.0,0.0,453,22,21,103.83772377646179,673.5011037527594,1.4847785615019533,13868.0,7.210845111047014,20.59090909090909,0.15417602613845213,False,False,25,20,True,False,False,45.3
Kloto,Plateaux,586.7,145986,33,361,26,83,0.0,5.0,8.0,0.0,503,13,13,248.82563490710754,290.2306163021869,3.4455358733029198,11229.692307692309,8.904963489649694,38.69230769230769,0.8573376512698141,False,False,6,13,False,False,False,80.3
Kpélé,Plateaux,1031.6,80939,3,220,6,26,0.0,1.0,7.0,0.0,255,8,8,78.45967429236138,317.40784313725493,3.1505207625495744,10117.375,9.883986706037879,31.875,0.24718883288096163,False,False,9,10,False,False,False,73.5
Moyen-Mono,Plateaux,614.3,90505,10,59,5,7,0.0,1.0,5.0,0.0,81,6,6,147.3302946443106,1117.3456790123457,0.8949781780012154,15084.166666666666,6.6294679851941885,13.5,0.13185739866514734,False,False,36,23,True,True,True,29.9
Ogou,Plateaux,1841.0,253467,65,207,34,115,5.0,7.0,12.0,0.0,421,24,19,137.67897881586094,602.0593824228029,1.6609657272938885,10561.125,9.468688231604114,17.541666666666668,0.22868006518196632,False,False,20,11,False,False,False,61.5
Wawa,Plateaux,1215.6,101300,7,155,4,78,0.0,1.0,3.0,0.0,244,4,4,83.33333333333334,415.1639344262295,2.4086870681145114,25325.0,3.9486673247778876,61.0,0.20072392234287595,False,False,16,32,False,True,False,45.3
Blitta,Centrale,3190.2,163272,4,60,1,25,0.0,3.0,7.0,0.0,90,10,10,51.17923641151025,1814.1333333333334,0.5512273996766133,16327.2,6.124748885295704,9.0,0.02821139740455144,False,False,38,24,True,True,True,17.1
Mô,Centrale,1472.0,52448,0,10,6,16,0.0,0.0,2.0,0.0,32,2,2,35.630434782608695,1639.0,0.6101281269066504,26224.0,3.813300793166565,16.0,0.021739130434782608,False,False,37,33,True,True,True,9.4
Sotouboua,Centrale,3034.1,138864,12,205,32,106,0.0,5.0,13.0,0.0,355,18,18,45.76777298045549,391.1661971830986,2.556458117294619,7714.666666666667,12.962322848254408,19.72222222222222,0.11700339474638279,False,False,14,3,False,False,False,63.2
Tchamba,Centrale,3162.2,200585,1,132,19,53,0.0,1.0,11.0,0.0,205,12,12,63.43210423123143,978.4634146341464,1.0220106189396017,16715.416666666668,5.982501184036693,17.083333333333332,0.06482828410600215,False,False,34,25,True,True,True,22.2
Tchaoudjo,Centrale,2537.2,240360,6,680,48,677,0.0,11.0,9.0,0.0,1411,20,20,94.73435282989122,170.34727143869597,5.8703611249791985,12018.0,8.320852055250457,70.55,0.5561248620526565,False,False,1,16,False,False,False,80.3
Assoli,Kara,851.9,66394,3,89,18,118,0.0,2.0,5.0,0.0,228,7,7,77.93637750909731,291.20175438596493,3.4340452450522636,9484.857142857143,10.54312136638853,32.57142857142857,0.26763704660171383,False,False,7,9,False,False,False,76.9
Bassar,Kara,3286.5,152065,2,144,176,114,1.0,6.0,7.0,0.0,436,14,13,46.269587707287386,348.7729357798165,2.8671949495281623,10861.785714285714,9.206589287475751,31.142857142857142,0.13266392819108475,False,False,12,12,False,False,False,60.7
Binah,Kara,549.4,84199,2,127,8,75,0.0,4.0,5.0,0.0,212,9,9,153.25627957772116,397.16509433962267,2.5178446299837294,9355.444444444445,10.688963051817717,23.555555555555557,0.38587550054605024,False,False,15,7,False,False,False,74.4
Dankpen,Kara,2614.0,185662,8,89,34,59,0.0,3.0,4.0,0.0,190,7,7,71.02601377199694,977.1684210526316,1.0233650396957912,26523.14285714286,3.77029225151081,27.142857142857142,0.07268553940321347,False,False,33,34,True,True,True,16.2
Doufelgou,Kara,1221.6,84767,3,104,26,51,0.0,2.0,8.0,0.0,184,10,10,69.39014407334643,460.6902173913044,2.17065603359798,8476.7,11.797043660858588,18.4,0.1506221349050426,False,False,17,5,False,False,False,64.1
Kéran,Kara,1795.0,128687,3,62,32,42,0.0,4.0,3.0,0.0,139,7,7,71.69192200557103,925.8057553956835,1.080140185100282,18383.85714285714,5.439554888994226,19.857142857142858,0.07743732590529248,False,False,30,28,True,True,True,25.6
Kozah,Kara,1077.9,283738,7,872,55,628,7.0,16.0,7.0,0.0,1562,30,23,263.2322107802208,181.6504481434059,5.505078628875935,9457.933333333332,10.573134370440336,52.06666666666667,1.449114017997959,False,False,2,8,False,False,False,89.7
Cinkassé,Savanes,255.8,128959,7,255,10,271,0.0,10.0,8.0,0.0,543,18,18,504.13995308835024,237.49355432780848,4.210640591195651,7164.388888888889,13.95792461169829,30.166666666666668,2.1227521501172792,False,False,3,2,False,False,False,95.7
Kpendjal,Savanes,1104.3,88365,5,22,2,12,0.0,0.0,0.0,0.0,41,0,0,80.01901657158382,2155.243902439024,0.4639846092910089,,0.0,,0.03712759213981708,True,False,39,39,True,True,True,4.3
Kpendjal-Ouest,Savanes,649.1,123330,23,76,1,29,0.0,0.0,3.0,0.0,129,3,3,190.00154059466954,956.046511627907,1.0459742155193383,41110.0,2.4324981756263684,43.0,0.19873671237097518,False,False,32,37,True,True,True,26.5
Oti,Savanes,1630.5,124848,38,207,22,101,0.0,5.0,6.0,0.0,368,11,11,76.5703771849126,339.2608695652174,2.947584262463155,11349.818181818182,8.810713828014865,33.45454545454545,0.22569763876111623,False,False,11,14,False,False,False,65.8
Oti-Sud,Savanes,2595.3,150376,19,89,16,35,0.0,1.0,4.0,0.0,159,5,5,57.94166377682734,945.7610062893082,1.057349577060169,30075.2,3.324998670000532,31.8,0.06126459368859091,False,False,31,35,True,True,True,15.4
Tandjoaré,Savanes,1005.7,138867,30,115,3,11,0.0,1.0,7.0,0.0,159,8,8,138.07994431739087,873.377358490566,1.1449804489187496,17358.375,5.760907919088048,19.875,0.15809883663120214,False,False,29,26,True,True,True,37.6
Tône,Savanes,1305.1,388775,78,825,79,298,0.0,7.0,9.0,0.0,1280,16,16,297.88905064746,303.73046875,3.2923927721689923,24298.4375,4.11549096521124,80.0,0.9807677572599801,False,False,8,31,False,True,False,64.1
