fid,prefecture,region,superficie_km2,population_rgph5_2022,densite_hab_km2
prefectures.A01,Agoè-Nyivé,Maritime,193.3,882695,4566.5
prefectures.A02,Avé,Maritime,1020.5,111214,109.0
prefectures.A03,Bas-Mono,Maritime,413.9,94860,229.2
prefectures.A04,Golfe,Maritime,221.3,1305681,5900.0
prefectures.A05,Lacs,Maritime,385.0,241247,626.6
prefectures.A06,Vo,Maritime,746.3,224411,300.7
prefectures.A07,Yoto,Maritime,1261.8,174851,138.6
prefectures.A08,Zio,Maritime,2130.8,500032,234.7
prefectures.B01,Agou,Plateaux,945.2,85793,90.8
prefectures.B02,Akébou,Plateaux,1196.5,73830,61.7
prefectures.B03,Amou,Plateaux,1674.2,114172,68.2
prefectures.B04,Anié,Plateaux,1973.7,180158,91.3
prefectures.B05,Danyi,Plateaux,428.1,40240,94.0
prefectures.B06,Est-Mono,Plateaux,2525.3,164460,65.1
prefectures.B07,Haho,Plateaux,2938.2,305096,103.8
prefectures.B08,Kloto,Plateaux,586.7,145986,248.8
prefectures.B09,Kpélé,Plateaux,1031.6,80939,78.5
prefectures.B10,Moyen-Mono,Plateaux,614.3,90505,147.3
prefectures.B11,Ogou,Plateaux,1841.0,253467,137.7
prefectures.B12,Wawa,Plateaux,1215.6,101300,83.3
prefectures.C01,Blitta,Centrale,3190.2,163272,51.2
prefectures.C02,Mô,Centrale,1472.0,52448,35.6
prefectures.C03,Sotouboua,Centrale,3034.1,138864,45.8
prefectures.C04,Tchamba,Centrale,3162.2,200585,63.4
prefectures.C05,Tchaoudjo,Centrale,2537.2,240360,94.7
prefectures.D01,Assoli,Kara,851.9,66394,77.9
prefectures.D02,Bassar,Kara,3286.5,152065,46.3
prefectures.D03,Binah,Kara,549.4,84199,153.3
prefectures.D04,Dankpen,Kara,2614.0,185662,71.0
prefectures.D05,Doufelgou,Kara,1221.6,84767,69.4
prefectures.D06,Kéran,Kara,1795.0,128687,71.7
prefectures.D07,Kozah,Kara,1077.9,283738,263.2
prefectures.E01,Cinkassé,Savanes,255.8,128959,504.1
prefectures.E02,Kpendjal,Savanes,1104.3,88365,80.0
prefectures.E03,Kpendjal-Ouest,Savanes,649.1,123330,190.0
prefectures.E04,Oti,Savanes,1630.5,124848,76.6
prefectures.E05,Oti-Sud,Savanes,2595.3,150376,57.9
prefectures.E06,Tandjoaré,Savanes,1005.7,138867,138.1
prefectures.E07,Tône,Savanes,1305.1,388775,297.9
